screenshot,origin_city,dest_search,depart_date,return_date,nonstop_filter,search_lowest_price_brl,rank_group,depart_time,arrive_time,next_day_arrival,airline,ticket_type,duration,stops,stop_detail,route,origin_airport,dest_airport,co2_kg,co2_note,price_brl
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Principais,11:05,13:55,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,136,30% menos emissoes,1860
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Principais,13:15,16:05,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1860
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Principais,13:05,15:55,No,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2020
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Principais,21:20,00:10,Yes,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2020
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Outros,14:45,17:35,No,GOL,Normal,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1979
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Outros,15:45,18:30,No,Azul,Passagens separadas,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,2184
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Outros,19:05,21:50,No,Azul,Passagens separadas,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,2184
132411,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-27 (qua),Yes,1758,Outros,07:50,10:40,No,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2203
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Principais,16:45,19:50,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,204,Media de emissoes,1438
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Principais,22:15,01:20,Yes,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1438
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Principais,20:05,23:20,No,LATAM,Normal,3h15,Sem escalas,,CGH-JPA,CGH,JPA,183,9% menos emissoes,1717
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Outros,17:30,20:35,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1438
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Outros,08:35,11:40,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1487
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Outros,12:40,15:45,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1487
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Outros,07:20,10:30,No,LATAM,Normal,3h10,Sem escalas,,CGH-REC,CGH,REC,177,12% menos emissoes,1689
132429,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1438,Outros,20:10,23:15,No,LATAM,Normal,3h05,Sem escalas,,CGH-REC,CGH,REC,177,12% menos emissoes,1689
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Principais,21:20,00:10,Yes,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1758
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Principais,13:05,15:55,No,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2020
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Principais,21:20,00:10,Yes,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2020
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,11:05,13:55,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,136,30% menos emissoes,1860
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,13:15,16:05,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1860
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,14:45,17:35,No,GOL,Normal,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1979
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,15:45,18:30,No,Azul,Normal,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,1998
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,19:05,21:50,No,Azul,Normal,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,1998
132435,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-28 (qui),Yes,1758,Outros,07:50,10:40,No,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2203
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Principais,16:45,19:50,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,204,Media de emissoes,1438
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Principais,22:15,01:20,Yes,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1438
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Principais,20:05,23:20,No,LATAM,Normal,3h15,Sem escalas,,CGH-JPA,CGH,JPA,183,9% menos emissoes,1717
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Outros,17:30,20:35,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1438
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Outros,08:35,11:40,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1487
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Outros,12:40,15:45,No,Azul,Passagens separadas,3h05,Sem escalas,,CGH-REC,CGH,REC,160,20% menos emissoes,1487
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Outros,08:30,11:30,No,Azul,Normal,3h00,Sem escalas,,GRU-REC,GRU,REC,152,24% menos emissoes,1652
132503,Sao Paulo,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1438,Outros,10:10,13:20,No,Azul,Normal,3h10,Sem escalas,,GRU-REC,GRU,REC,200,Media de emissoes,1652
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Principais,21:20,00:10,Yes,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1740
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Principais,21:20,00:10,Yes,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,1935
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Principais,13:05,15:55,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,1996
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,11:05,13:55,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,136,30% menos emissoes,1842
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,13:15,16:05,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1842
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,14:45,17:35,No,GOL,Passagens separadas,2h50,Sem escalas,,GIG-REC,GIG,REC,160,18% menos emissoes,1956
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,15:45,18:30,No,Azul,Normal,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,2016
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,19:05,21:50,No,Azul,Normal,2h45,Sem escalas,,GIG-REC,GIG,REC,143,27% menos emissoes,2016
132511,Rio de Janeiro,Recife / Joao Pessoa,2027-01-20 (qua),2027-01-29 (sex),Yes,1740,Outros,07:50,10:40,No,GOL,Normal,2h50,Sem escalas,,GIG-JPA,GIG,JPA,166,15% menos emissoes,2182
